,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
JI009,JI009,17:17,-25.505943,-49.340241,826,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI004,JI004,17:14,-25.483301,-49.347653,826,1,1,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI035,HI035,17:15,-25.451745,-49.36188,826,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
HE715,HE715,17:16,-25.485186,-49.26672,550,0,5,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GE726,GE726,17:17,-25.440898,-49.26713,550,0,5,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HE720,HE720,17:14,-25.441488,-49.266846,550,0,5,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GE729,GE729,17:17,-25.509301,-49.286195,550,0,5,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GE713,GE713,17:17,-25.55001,-49.290938,REC,0,5,,,,,1
GI033,GI033,17:17,-25.540625,-49.249168,541,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI031,GI031,17:17,-25.535318,-49.269965,541,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI021,GI021,17:14,-25.541818,-49.273393,683,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI881,BI881,17:17,-25.433033,-49.259116,385,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI016,JI016,17:17,-25.487506,-49.349093,658,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI048,HI048,17:17,-25.489028,-49.349085,658,1,1,4,ATRASADO,REALIZANDO ROTA,IDA,1
HI039,HI039,17:17,-25.49469,-49.310065,658,1,1,5,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI015,HI015,17:17,-25.594601,-49.34076,685,1,1,3,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI042,HI042,17:17,-25.534498,-49.31681,685,1,1,2,ATRASADO,REALIZANDO ROTA,IDA,1
JI023,JI023,17:17,-25.448788,-49.295618,860,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI010,JI010,17:17,-25.45745,-49.347293,860,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
JI862,JI862,17:17,-25.438801,-49.270033,777,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI866,JI866,17:17,-25.462176,-49.332688,777,1,7,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI014,HI014,17:17,-25.481435,-49.32291,828,1,1,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI006,HI006,17:17,-25.477743,-49.328296,828,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI017,JI017,17:17,-25.441586,-49.346785,828,1,1,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
HB301,HB301,17:17,-25.477321,-49.35018,060,1,3,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HB300,HB300,17:17,-25.539088,-49.31261,060,1,3,2,ADIANTADO,REALIZANDO ROTA,IDA,1
BI851,BI851,17:17,-25.419238,-49.287708,168,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI877,BI877,17:17,-25.383238,-49.310953,168,1,7,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI001,JI001,17:10,-25.468931,-49.305448,611,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI022,JI022,17:16,-25.47567,-49.292008,611,1,1,2,ATRASADO,REALIZANDO ROTA,IDA,1
GI859,GI859,17:15,-25.41882,-49.299786,464,1,7,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GE604,GE604,17:17,-25.513935,-49.231396,503,0,4,6,ATRASADO,REALIZANDO ROTA,IDA,1
KE702,KE702,17:17,-25.507043,-49.23482,503,0,5,1,ADIANTADO,REALIZANDO ROTA,VOLTA,1
GE603,GE603,17:17,-25.480901,-49.247601,503,0,4,5,ADIANTADO,REALIZANDO ROTA,IDA,1
KE708,KE708,17:17,-25.447356,-49.26393,503,0,5,4,ADIANTADO,REALIZANDO ROTA,IDA,1
GE614,GE614,17:17,-25.463201,-49.256286,503,0,4,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GE613,GE613,17:17,-25.433898,-49.270238,503,0,4,3,ATRASADO,REALIZANDO ROTA,VOLTA,1
BI894,BI894,17:17,-25.401571,-49.329438,817,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
MI851,MI851,17:15,-25.436045,-49.307578,817,1,7,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
PC292,PC292,17:17,-25.438801,-49.250611,461,1,1,1,NO HORÁRIO,TIPO INCOMPATIVEL,IDA,1
PC949,PC949,17:17,-25.462701,-49.23255,477,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI008,HI008,17:17,-25.590801,-49.319963,659,1,1,2,ADIANTADO,REALIZANDO ROTA,VOLTA,1
HI046,HI046,17:14,-25.582988,-49.317715,659,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HI041,HI041,17:17,-25.500861,-49.32265,654,1,1,1,ATRASADO,REALIZANDO ROTA,IDA,1
HI022,HI022,17:17,-25.520141,-49.306166,623,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HI047,HI047,17:13,-25.497538,-49.30355,623,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
MI853,MI853,17:17,-25.42205,-49.274573,150,1,7,1,ATRASADO,REALIZANDO ROTA,IDA,1
PI003,PI003,17:17,-25.450011,-49.228578,462,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
