,stop_name,stop_id,latitude,longitude,SEQ,GRUPO,SENTIDO,TIPO,ITINERARY_ID,line_id
0,"Rua Brasílio Itiberê, 1349 - Jardim Botanico",110167,"-25,442762610011","-49,257536412424",21,,Jardim Botânico,Novo mobiliário,11113,464
1,"Rua João Negrão, 1408 - Centro",110145,"-25,441763500043","-49,261036695189",20,,Jardim Botânico,Novo mobiliário,11113,464
2,"Rua Alcides Munhoz, 973 - Mercês",190508,"-25,419625941787","-49,296201796478",3,,Jardim Botânico,Placa em cano,11113,464
3,"Rua Alcides Munhoz, 1235 - Mercês",190908,"-25,418882900725","-49,299594651521",34,,Alcides Munhoz,Novo mobiliário,11133,464
4,"Rua Conselheiro Laurindo, 341 - Centro",110153,"-25,431282639826","-49,264389456457",18,,Alcides Munhoz,Placa em poste,11133,464
5,"Rua Desembargador Isaías Bevilacqua, 494 - Mercês",110080,"-25,424680465189","-49,286855639166",26,,Alcides Munhoz,Placa em cano,11133,464
6,"Rua Doutor Jorge Meyer Filho, 153 - Jardim Botanico",140922,"-25,443424941673","-49,243132950014",3,,Alcides Munhoz,Chapéu chinês,11133,464
7,"Rua Bento Azambuja, 1 - Jardim Botanico",140925,"-25,440384005192","-49,243086011356",6,,Alcides Munhoz,Chapéu chinês,11133,464
8,Rua José Loureiro - 464 - A. Munhoz / Jd. Botânico,102241,"-25,43354020745","-49,272350252813",15,,Jardim Botânico,Novo mobiliário,11113,464
9,"Rua João Negrão, 1274 - Centro",110144,"-25,439979614001","-49,26194462294",19,,Jardim Botânico,Novo mobiliário,11113,464
10,"Rua Desembargador Mota, 2524 - Água Verde",190914,"-25,426582064222","-49,287290157026",8,,Jardim Botânico,Novo mobiliário,11113,464
11,"Rua Professor Fernando Moreira, 951 - Centro",180241,"-25,42939928254","-49,285593659824",9,,Jardim Botânico,Novo mobiliário,11113,464
12,Praça Tiradentes - 464 - A.Munhoz / J.Botânico,101015,"-25,429167948522","-49,271203608459",21,,Alcides Munhoz,Novo mobiliário,11133,464
13,"Rua Mal. Deodoro, 314 - Centro",110004,"-25,431247786293","-49,269576114882",20,,Alcides Munhoz,Novo mobiliário,11133,464
14,"Rua Fernando Simas, 1119 - Mercês",190832,"-25,426269574212","-49,291281284041",28,,Alcides Munhoz,Sem demarcação,11133,464
15,"Rua Desembargador Isaías Bevilacqua, 638 - Mercês",190913,"-25,42525458169","-49,288308055347",27,,Alcides Munhoz,Sem demarcação,11133,464
16,"Rua Dante Alighieri, 25 - Jardim Botanico",140923,"-25,442384661808","-49,243362278885",4,,Alcides Munhoz,Chapéu chinês,11133,464
17,"Rua Hildebrando de Araújo, 209 - Jardim Botanico",130842,"-25,438957366557","-49,248453111595",10,,Alcides Munhoz,Placa em poste,11133,464
18,"Rua Desembargador Isaías Bevilacqua, 637 - Mercês",190912,"-25,425339366595","-49,288156510538",7,,Jardim Botânico,Novo mobiliário,11113,464
19,"Rua Fernando Simas, 1570 - Mercês",190830,"-25,422503279141","-49,293112226969",30,,Alcides Munhoz,Sem demarcação,11133,464
20,"Rua Engenheiros Rebouças, 381 - Jardim Botanico",130846,"-25,438346982897","-49,25046879167",11,,Alcides Munhoz,Novo mobiliário,11133,464
21,"Rua Maurício Nunes Garcia, 246 - Jardim Botanico",140920,"-25,444053464967","-49,247706116385",1,,Alcides Munhoz,Domus,11133,464
22,"Rua Carlos Antônio de Azevedo, 1 - Jardim Botanico",140924,"-25,44122568984","-49,24409586305",5,,Alcides Munhoz,Chapéu chinês,11133,464
23,"R. Fernando Simas, 1330 - Mercês",191005,"-25,424774196052","-49,29200446652",29,,Alcides Munhoz,Sem demarcação,11133,464
24,"Rua Mal. Deodoro, 527 - Centro",110003,"-25,430286486029","-49,267224682014",19,,Alcides Munhoz,Novo mobiliário,11133,464
25,"Rua Cruz Machado, 82 - Centro",110017,"-25,43008","-49,27409",13,,Jardim Botânico,Placa em cano,11113,464
26,"Rua João Negrão, 510 - Centro",110155,"-25,433860008204","-49,264960768075",17,,Jardim Botânico,Placa em cano,11113,464
